transit;diff;pre;ade;tum;imm
832;1618;0;0;0;0
830;1620;0;0;0;0
843;1607;0;0;0;0
840;1610;0;0;0;0
831;1619;0;0;0;0
839;1611;0;0;0;0
850;1600;0;0;0;0
843;1607;0;0;0;0
837;1613;0;0;0;0
823;1627;0;0;0;0
817;1633;0;0;0;0
817;1633;0;0;0;0
824;1626;0;0;0;0
836;1614;0;0;0;0
829;1621;0;0;0;0
833;1617;0;0;0;0
830;1620;0;0;0;0
834;1616;0;0;0;0
847;1603;0;0;0;0
832;1618;0;0;0;0
836;1614;0;0;0;0
840;1610;0;0;0;0
831;1619;0;0;0;0
827;1623;0;0;0;0
826;1624;0;0;0;0
822;1628;0;0;0;0
823;1627;0;0;0;0
825;1625;0;0;0;0
827;1623;0;0;0;0
833;1617;0;0;0;0
826;1624;0;0;0;0
824;1626;0;0;0;0
823;1627;0;0;0;0
826;1624;0;0;0;0
835;1615;0;0;0;0
842;1608;0;0;0;0
846;1604;0;0;0;0
846;1604;0;0;0;0
842;1608;0;0;0;0
839;1611;0;0;0;0
837;1613;0;0;0;0
827;1623;0;0;0;0
824;1626;0;0;0;0
826;1624;0;0;0;0
819;1631;0;0;0;0
831;1619;0;0;0;0
836;1614;0;0;0;0
833;1617;0;0;0;0
826;1624;0;0;0;0
816;1634;0;0;0;0
821;1629;0;0;0;0
827;1623;0;0;0;0
843;1607;0;0;0;0
839;1611;0;0;0;0
832;1618;0;0;0;0
832;1618;0;0;0;0
828;1622;0;0;0;0
825;1625;0;0;0;0
825;1625;0;0;0;0
830;1620;0;0;0;0
816;1634;0;0;0;0
818;1632;0;0;0;0
819;1631;0;0;0;0
809;1641;0;0;0;0
806;1644;0;0;0;0
810;1640;0;0;0;0
802;1648;0;0;0;0
806;1644;0;0;0;0
814;1636;0;0;0;0
811;1639;0;0;0;0
821;1629;0;0;0;0
831;1619;0;0;0;0
832;1618;0;0;0;0
835;1615;0;0;0;0
830;1620;0;0;0;0
824;1626;0;0;0;0
831;1619;0;0;0;0
822;1628;0;0;0;0
826;1624;0;0;0;0
834;1616;0;0;0;0
835;1615;0;0;0;0
844;1606;0;0;0;0
851;1599;0;0;0;0
845;1605;0;0;0;0
830;1620;0;0;0;0
838;1612;0;0;0;0
833;1617;0;0;0;0
830;1620;0;0;0;0
833;1617;0;0;0;0
826;1624;0;0;0;0
825;1625;0;0;0;0
827;1623;0;0;0;0
824;1626;0;0;0;0
829;1621;0;0;0;0
830;1620;0;0;0;0
824;1626;0;0;0;0
816;1634;0;0;0;0
821;1629;0;0;0;0
815;1635;0;0;0;0
801;1649;0;0;0;0
805;1645;0;0;0;0
808;1642;0;0;0;0
828;1622;0;0;0;0
826;1624;0;0;0;0
826;1624;0;0;0;0
824;1626;0;0;0;0
839;1611;0;0;0;0
846;1604;0;0;0;0
844;1606;0;0;0;0
833;1617;0;0;0;0
842;1608;0;0;0;0
856;1594;0;0;0;0
859;1591;0;0;0;0
842;1608;0;0;0;0
841;1609;0;0;0;0
852;1598;0;0;0;0
849;1601;0;0;0;0
847;1603;0;0;0;0
836;1614;0;0;0;0
831;1619;0;0;0;0
825;1625;0;0;0;0
838;1612;0;0;0;0
842;1608;0;0;0;0
822;1628;0;0;0;0
832;1618;0;0;0;0
825;1625;0;0;0;0
819;1631;0;0;0;0
832;1618;0;0;0;0
834;1616;0;0;0;0
825;1625;0;0;0;0
829;1621;0;0;0;0
832;1618;0;0;0;0
824;1626;0;0;0;0
816;1634;0;0;0;0
828;1622;0;0;0;0
849;1601;0;0;0;0
851;1599;0;0;0;0
843;1607;0;0;0;0
837;1613;0;0;0;0
843;1607;0;0;0;0
844;1606;0;0;0;0
861;1589;0;0;0;0
856;1594;0;0;0;0
856;1594;0;0;0;0
847;1603;0;0;0;0
832;1618;0;0;0;0
841;1609;0;0;0;0
826;1624;0;0;0;0
834;1616;0;0;0;0
826;1624;0;0;0;0
829;1621;0;0;0;0
833;1617;0;0;0;0
835;1615;0;0;0;0
843;1607;0;0;0;0
842;1608;0;0;0;0
850;1600;0;0;0;0
857;1593;0;0;0;0
853;1597;0;0;0;0
844;1606;0;0;0;0
851;1599;0;0;0;0
858;1592;0;0;0;0
871;1579;0;0;0;0
862;1588;0;0;0;0
850;1600;0;0;0;0
851;1599;0;0;0;0
853;1597;0;0;0;0
847;1603;0;0;0;0
839;1611;0;0;0;0
835;1615;0;0;0;0
835;1615;0;0;0;0
840;1610;0;0;0;0
837;1613;0;0;0;0
841;1609;0;0;0;0
838;1612;0;0;0;0
839;1611;0;0;0;0
840;1610;0;0;0;0
843;1607;0;0;0;0
837;1613;0;0;0;0
846;1604;0;0;0;0
845;1605;0;0;0;0
832;1618;0;0;0;0
802;1648;0;0;0;0
801;1649;0;0;0;0
803;1647;0;0;0;0
803;1647;0;0;0;0
810;1640;0;0;0;0
813;1637;0;0;0;0
808;1642;0;0;0;0
812;1638;0;0;0;0
814;1636;0;0;0;0
806;1644;0;0;0;0
821;1629;0;0;0;0
824;1626;0;0;0;0
830;1620;0;0;0;0
825;1625;0;0;0;0
819;1631;0;0;0;0
821;1629;0;0;0;0
811;1639;0;0;0;0
828;1622;0;0;0;0
829;1621;0;0;0;0
828;1622;0;0;0;0
828;1622;0;0;0;0
829;1621;0;0;0;0
815;1635;0;0;0;0
815;1635;0;0;0;0
820;1630;0;0;0;0
824;1626;0;0;0;0
824;1626;0;0;0;0
838;1612;0;0;0;0
837;1613;0;0;0;0
838;1612;0;0;0;0
833;1617;0;0;0;0
836;1614;0;0;0;0
841;1609;0;0;0;0
833;1617;0;0;0;0
824;1626;0;0;0;0
822;1628;0;0;0;0
816;1634;0;0;0;0
824;1626;0;0;0;0
806;1644;0;0;0;0
817;1633;0;0;0;0
818;1632;0;0;0;0
820;1630;0;0;0;0
820;1630;0;0;0;0
822;1628;0;0;0;0
835;1615;0;0;0;0
824;1626;0;0;0;0
838;1612;0;0;0;0
838;1612;0;0;0;0
842;1608;0;0;0;0
836;1614;0;0;0;0
837;1613;0;0;0;0
846;1604;0;0;0;0
842;1608;0;0;0;0
838;1612;0;0;0;0
832;1618;0;0;0;0
826;1624;0;0;0;0
822;1628;0;0;0;0
807;1643;0;0;0;0
812;1638;0;0;0;0
815;1635;0;0;0;0
816;1634;0;0;0;0
818;1632;0;0;0;0
828;1622;0;0;0;0
841;1609;0;0;0;0
842;1608;0;0;0;0
843;1607;0;0;0;0
824;1626;0;0;0;0
841;1609;0;0;0;0
850;1600;0;0;0;0
855;1595;0;0;0;0
839;1611;0;0;0;0
829;1621;0;0;0;0
828;1622;0;0;0;0
834;1616;0;0;0;0
822;1628;0;0;0;0
818;1632;0;0;0;0
825;1625;0;0;0;0
837;1613;0;0;0;0
827;1623;0;0;0;0
832;1618;0;0;0;0
847;1603;0;0;0;0
847;1603;0;0;0;0
855;1595;0;0;0;0
843;1607;0;0;0;0
837;1613;0;0;0;0
830;1620;0;0;0;0
811;1639;0;0;0;0
818;1632;0;0;0;0
818;1632;0;0;0;0
822;1628;0;0;0;0
826;1624;0;0;0;0
836;1614;0;0;0;0
830;1620;0;0;0;0
838;1612;0;0;0;0
840;1610;0;0;0;0
835;1615;0;0;0;0
841;1609;0;0;0;0
839;1611;0;0;0;0
837;1613;0;0;0;0
828;1622;0;0;0;0
826;1624;0;0;0;0
829;1621;0;0;0;0
833;1617;0;0;0;0
839;1611;0;0;0;0
830;1620;0;0;0;0
842;1608;0;0;0;0
854;1596;0;0;0;0
839;1611;0;0;0;0
842;1608;0;0;0;0
846;1604;0;0;0;0
860;1590;0;0;0;0
864;1586;0;0;0;0
866;1584;0;0;0;0
850;1600;0;0;0;0
845;1605;0;0;0;0
834;1616;0;0;0;0
831;1619;0;0;0;0
828;1622;0;0;0;0
836;1614;0;0;0;0
825;1625;0;0;0;0
837;1613;0;0;0;0
835;1615;0;0;0;0
837;1613;0;0;0;0
826;1624;0;0;0;0
824;1626;0;0;0;0
832;1618;0;0;0;0
840;1610;0;0;0;0
836;1614;0;0;0;0
836;1614;0;0;0;0
840;1610;0;0;0;0
848;1602;0;0;0;0
848;1602;0;0;0;0
846;1604;0;0;0;0
837;1613;0;0;0;0
840;1610;0;0;0;0
836;1614;0;0;0;0
845;1605;0;0;0;0
855;1595;0;0;0;0
849;1601;0;0;0;0
845;1605;0;0;0;0
849;1601;0;0;0;0
848;1602;0;0;0;0
853;1597;0;0;0;0
850;1600;0;0;0;0
853;1597;0;0;0;0
862;1588;0;0;0;0
857;1593;0;0;0;0
858;1592;0;0;0;0
845;1605;0;0;0;0
828;1622;0;0;0;0
832;1618;0;0;0;0
848;1602;0;0;0;0
848;1602;0;0;0;0
848;1602;0;0;0;0
843;1607;0;0;0;0
830;1620;0;0;0;0
846;1604;0;0;0;0
832;1618;0;0;0;0
834;1616;0;0;0;0
825;1625;0;0;0;0
831;1619;0;0;0;0
826;1624;0;0;0;0
821;1629;0;0;0;0
817;1633;0;0;0;0
835;1615;0;0;0;0
857;1593;0;0;0;0
853;1597;0;0;0;0
849;1601;0;0;0;0
840;1610;0;0;0;0
848;1602;0;0;0;0
844;1606;0;0;0;0
834;1616;0;0;0;0
833;1617;0;0;0;0
823;1627;0;0;0;0
833;1617;0;0;0;0
831;1619;0;0;0;0
834;1616;0;0;0;0
831;1619;0;0;0;0
840;1610;0;0;0;0
846;1604;0;0;0;0
849;1601;0;0;0;0
852;1598;0;0;0;0
853;1597;0;0;0;0
844;1606;0;0;0;0
848;1602;0;0;0;0
852;1598;0;0;0;0
828;1622;0;0;0;0
828;1622;0;0;0;0
822;1628;0;0;0;0
823;1627;0;0;0;0
822;1628;0;0;0;0
836;1614;0;0;0;0
844;1606;0;0;0;0
838;1612;0;0;0;0
841;1609;0;0;0;0
844;1606;0;0;0;0
845;1605;0;0;0;0
842;1608;0;0;0;0
834;1616;0;0;0;0
839;1611;0;0;0;0
835;1615;0;0;0;0
842;1608;0;0;0;0
832;1618;0;0;0;0
839;1611;0;0;0;0
848;1602;0;0;0;0
846;1604;0;0;0;0
856;1594;0;0;0;0
851;1599;0;0;0;0
851;1599;0;0;0;0
844;1606;0;0;0;0
830;1620;0;0;0;0
825;1625;0;0;0;0
839;1611;0;0;0;0
851;1599;0;0;0;0
844;1606;0;0;0;0
844;1606;0;0;0;0
849;1601;0;0;0;0
845;1605;0;0;0;0
847;1603;0;0;0;0
833;1617;0;0;0;0
831;1619;0;0;0;0
815;1635;0;0;0;0
808;1642;0;0;0;0
793;1657;0;0;0;0
788;1662;0;0;0;0
793;1657;0;0;0;0
802;1648;0;0;0;0
800;1650;0;0;0;0
818;1632;0;0;0;0
835;1615;0;0;0;0
840;1610;0;0;0;0
827;1623;0;0;0;0
837;1613;0;0;0;0
835;1615;0;0;0;0
826;1624;0;0;0;0
830;1620;0;0;0;0
833;1617;0;0;0;0
821;1629;0;0;0;0
818;1632;0;0;0;0
826;1624;0;0;0;0
823;1627;0;0;0;0
821;1629;0;0;0;0
826;1624;0;0;0;0
828;1622;0;0;0;0
832;1618;0;0;0;0
822;1628;0;0;0;0
817;1633;0;0;0;0
824;1626;0;0;0;0
807;1643;0;0;0;0
810;1640;0;0;0;0
825;1625;0;0;0;0
823;1627;0;0;0;0
819;1631;0;0;0;0
823;1627;0;0;0;0
825;1625;0;0;0;0
828;1622;0;0;0;0
833;1617;0;0;0;0
835;1615;0;0;0;0
833;1617;0;0;0;0
827;1623;0;0;0;0
814;1636;0;0;0;0
817;1633;0;0;0;0
805;1645;0;0;0;0
812;1638;0;0;0;0
812;1638;0;0;0;0
813;1637;0;0;0;0
810;1640;0;0;0;0
808;1642;0;0;0;0
804;1646;0;0;0;0
811;1639;0;0;0;0
823;1627;0;0;0;0
841;1609;0;0;0;0
837;1613;0;0;0;0
843;1607;0;0;0;0
843;1607;0;0;0;0
839;1611;0;0;0;0
840;1610;0;0;0;0
851;1599;0;0;0;0
844;1606;0;0;0;0
843;1607;0;0;0;0
855;1595;0;0;0;0
856;1594;0;0;0;0
837;1613;0;0;0;0
827;1623;0;0;0;0
803;1647;0;0;0;0
813;1637;0;0;0;0
829;1621;0;0;0;0
835;1615;0;0;0;0
826;1624;0;0;0;0
818;1632;0;0;0;0
827;1623;0;0;0;0
842;1608;0;0;0;0
847;1603;0;0;0;0
853;1597;0;0;0;0
846;1604;0;0;0;0
848;1602;0;0;0;0
846;1604;0;0;0;0
853;1597;0;0;0;0
843;1607;0;0;0;0
837;1613;0;0;0;0
833;1617;0;0;0;0
816;1634;0;0;0;0
822;1628;0;0;0;0
822;1628;0;0;0;0
825;1625;0;0;0;0
824;1626;0;0;0;0
820;1630;0;0;0;0
811;1639;0;0;0;0
805;1645;0;0;0;0
812;1638;0;0;0;0
808;1642;0;0;0;0
819;1631;0;0;0;0
832;1618;0;0;0;0
823;1627;0;0;0;0
823;1627;0;0;0;0
826;1624;0;0;0;0
825;1625;0;0;0;0
820;1630;0;0;0;0
829;1621;0;0;0;0
831;1619;0;0;0;0
829;1621;0;0;0;0
834;1616;0;0;0;0
832;1618;0;0;0;0
839;1611;0;0;0;0
844;1606;0;0;0;0
850;1600;0;0;0;0
839;1611;0;0;0;0
841;1609;0;0;0;0
838;1612;0;0;0;0
840;1610;0;0;0;0
838;1612;0;0;0;0
835;1615;0;0;0;0
837;1613;0;0;0;0
841;1609;0;0;0;0
849;1601;0;0;0;0
849;1601;0;0;0;0
850;1600;0;0;0;0
837;1613;0;0;0;0
827;1623;0;0;0;0
821;1629;0;0;0;0
840;1610;0;0;0;0
837;1613;0;0;0;0
825;1625;0;0;0;0
826;1624;0;0;0;0
824;1626;0;0;0;0
812;1638;0;0;0;0
812;1638;0;0;0;0
804;1646;0;0;0;0
799;1651;0;0;0;0
807;1643;0;0;0;0
795;1655;0;0;0;0
808;1642;0;0;0;0
810;1640;0;0;0;0
810;1640;0;0;0;0
835;1615;0;0;0;0
843;1607;0;0;0;0
841;1609;0;0;0;0
846;1604;0;0;0;0
843;1607;0;0;0;0
846;1604;0;0;0;0
834;1616;0;0;0;0
820;1630;0;0;0;0
824;1626;0;0;0;0
833;1617;0;0;0;0
845;1605;0;0;0;0
849;1601;0;0;0;0
839;1611;0;0;0;0
830;1620;0;0;0;0
841;1609;0;0;0;0
845;1605;0;0;0;0
857;1593;0;0;0;0
852;1598;0;0;0;0
861;1589;0;0;0;0
849;1601;0;0;0;0
833;1617;0;0;0;0
823;1627;0;0;0;0
824;1626;0;0;0;0
827;1623;0;0;0;0
828;1622;0;0;0;0
834;1616;0;0;0;0
835;1615;0;0;0;0
832;1618;0;0;0;0
821;1629;0;0;0;0
824;1626;0;0;0;0
819;1631;0;0;0;0
814;1636;0;0;0;0
807;1643;0;0;0;0
819;1631;0;0;0;0
806;1644;0;0;0;0
813;1637;0;0;0;0
821;1629;0;0;0;0
826;1624;0;0;0;0
823;1627;0;0;0;0
826;1624;0;0;0;0
820;1630;0;0;0;0
827;1623;0;0;0;0
833;1617;0;0;0;0
834;1616;0;0;0;0
828;1622;0;0;0;0
824;1626;0;0;0;0
824;1626;0;0;0;0
821;1629;0;0;0;0
828;1622;0;0;0;0
827;1623;0;0;0;0
826;1624;0;0;0;0
822;1628;0;0;0;0
815;1635;0;0;0;0
803;1647;0;0;0;0
803;1647;0;0;0;0
807;1643;0;0;0;0
809;1641;0;0;0;0
820;1630;0;0;0;0
809;1641;0;0;0;0
803;1647;0;0;0;0
811;1639;0;0;0;0
798;1652;0;0;0;0
800;1650;0;0;0;0
816;1634;0;0;0;0
819;1631;0;0;0;0
831;1619;0;0;0;0
820;1630;0;0;0;0
806;1644;0;0;0;0
815;1635;0;0;0;0
813;1637;0;0;0;0
826;1624;0;0;0;0
831;1619;0;0;0;0
834;1616;0;0;0;0
831;1619;0;0;0;0
833;1617;0;0;0;0
827;1623;0;0;0;0
825;1625;0;0;0;0
839;1611;0;0;0;0
843;1607;0;0;0;0
857;1593;0;0;0;0
854;1596;0;0;0;0
832;1618;0;0;0;0
831;1619;0;0;0;0
822;1628;0;0;0;0
814;1636;0;0;0;0
813;1637;0;0;0;0
820;1630;0;0;0;0
820;1630;0;0;0;0
814;1636;0;0;0;0
822;1628;0;0;0;0
822;1628;0;0;0;0
827;1623;0;0;0;0
811;1639;0;0;0;0
820;1630;0;0;0;0
837;1613;0;0;0;0
832;1618;0;0;0;0
837;1613;0;0;0;0
853;1597;0;0;0;0
864;1586;0;0;0;0
874;1576;0;0;0;0
860;1590;0;0;0;0
853;1597;0;0;0;0
837;1613;0;0;0;0
827;1623;0;0;0;0
834;1616;0;0;0;0
834;1616;0;0;0;0
832;1618;0;0;0;0
847;1603;0;0;0;0
851;1599;0;0;0;0
855;1595;0;0;0;0
851;1599;0;0;0;0
851;1599;0;0;0;0
856;1594;0;0;0;0
846;1604;0;0;0;0
848;1602;0;0;0;0
830;1620;0;0;0;0
838;1612;0;0;0;0
836;1614;0;0;0;0
831;1619;0;0;0;0
824;1626;0;0;0;0
827;1623;0;0;0;0
825;1625;0;0;0;0
820;1630;0;0;0;0
817;1633;0;0;0;0
818;1632;0;0;0;0
812;1638;0;0;0;0
820;1630;0;0;0;0
823;1627;0;0;0;0
829;1621;0;0;0;0
815;1635;0;0;0;0
819;1631;0;0;0;0
825;1625;0;0;0;0
822;1628;0;0;0;0
824;1626;0;0;0;0
825;1625;0;0;0;0
826;1624;0;0;0;0
835;1615;0;0;0;0
836;1614;0;0;0;0
823;1627;0;0;0;0
829;1621;0;0;0;0
818;1632;0;0;0;0
820;1630;0;0;0;0
828;1622;0;0;0;0
828;1622;0;0;0;0
829;1621;0;0;0;0
834;1616;0;0;0;0
830;1620;0;0;0;0
834;1616;0;0;0;0
833;1617;0;0;0;0
835;1615;0;0;0;0
818;1632;0;0;0;0
812;1638;0;0;0;0
821;1629;0;0;0;0
832;1618;0;0;0;0
825;1625;0;0;0;0
822;1628;0;0;0;0
826;1624;0;0;0;0
834;1616;0;0;0;0
828;1622;0;0;0;0
812;1638;0;0;0;0
814;1636;0;0;0;0
809;1641;0;0;0;0
805;1645;0;0;0;0
799;1651;0;0;0;0
808;1642;0;0;0;0
817;1633;0;0;0;0
826;1624;0;0;0;0
816;1634;0;0;0;0
818;1632;0;0;0;0
814;1636;0;0;0;0
825;1625;0;0;0;0
824;1626;0;0;0;0
805;1645;0;0;0;0
807;1643;0;0;0;0
818;1632;0;0;0;0
822;1628;0;0;0;0
835;1615;0;0;0;0
835;1615;0;0;0;0
834;1616;0;0;0;0
827;1623;0;0;0;0
821;1629;0;0;0;0
826;1624;0;0;0;0
819;1631;0;0;0;0
821;1629;0;0;0;0
822;1628;0;0;0;0
830;1620;0;0;0;0
805;1645;0;0;0;0
818;1632;0;0;0;0
824;1626;0;0;0;0
832;1618;0;0;0;0
831;1619;0;0;0;0
827;1623;0;0;0;0
837;1613;0;0;0;0
847;1603;0;0;0;0
849;1601;0;0;0;0
852;1598;0;0;0;0
851;1599;0;0;0;0
841;1609;0;0;0;0
839;1611;0;0;0;0
842;1608;0;0;0;0
832;1618;0;0;0;0
835;1615;0;0;0;0
835;1615;0;0;0;0
850;1600;0;0;0;0
839;1611;0;0;0;0
844;1606;0;0;0;0
857;1593;0;0;0;0
857;1593;0;0;0;0
840;1610;0;0;0;0
850;1600;0;0;0;0
848;1602;0;0;0;0
847;1603;0;0;0;0
851;1599;0;0;0;0
843;1607;0;0;0;0
832;1618;0;0;0;0
818;1632;0;0;0;0
826;1624;0;0;0;0
828;1622;0;0;0;0
824;1626;0;0;0;0
817;1633;0;0;0;0
814;1636;0;0;0;0
820;1630;0;0;0;0
829;1621;0;0;0;0
831;1619;0;0;0;0
826;1624;0;0;0;0
818;1632;0;0;0;0
820;1630;0;0;0;0
831;1619;0;0;0;0
824;1626;0;0;0;0
829;1621;0;0;0;0
828;1622;0;0;0;0
829;1621;0;0;0;0
832;1618;0;0;0;0
835;1615;0;0;0;0
832;1618;0;0;0;0
834;1616;0;0;0;0
833;1617;0;0;0;0
827;1623;0;0;0;0
824;1626;0;0;0;0
823;1627;0;0;0;0
828;1622;0;0;0;0
824;1626;0;0;0;0
810;1640;0;0;0;0
818;1632;0;0;0;0
829;1621;0;0;0;0
833;1617;0;0;0;0
837;1613;0;0;0;0
828;1622;0;0;0;0
832;1618;0;0;0;0
839;1611;0;0;0;0
829;1621;0;0;0;0
825;1625;0;0;0;0
827;1623;0;0;0;0
817;1633;0;0;0;0
809;1641;0;0;0;0
820;1630;0;0;0;0
827;1623;0;0;0;0
830;1620;0;0;0;0
830;1620;0;0;0;0
835;1615;0;0;0;0
835;1615;0;0;0;0
822;1628;0;0;0;0
810;1640;0;0;0;0
798;1652;0;0;0;0
793;1657;0;0;0;0
792;1658;0;0;0;0
800;1650;0;0;0;0
805;1645;0;0;0;0
811;1639;0;0;0;0
817;1633;0;0;0;0
815;1635;0;0;0;0
818;1632;0;0;0;0
825;1625;0;0;0;0
833;1617;0;0;0;0
831;1619;0;0;0;0
822;1628;0;0;0;0
820;1630;0;0;0;0
822;1628;0;0;0;0
820;1630;0;0;0;0
823;1627;0;0;0;0
829;1621;0;0;0;0
836;1614;0;0;0;0
847;1603;0;0;0;0
833;1617;0;0;0;0
832;1618;0;0;0;0
811;1639;0;0;0;0
813;1637;0;0;0;0
826;1624;0;0;0;0
825;1625;0;0;0;0
825;1625;0;0;0;0
826;1624;0;0;0;0
824;1626;0;0;0;0
825;1625;0;0;0;0
823;1627;0;0;0;0
831;1619;0;0;0;0
824;1626;0;0;0;0
821;1629;0;0;0;0
817;1633;0;0;0;0
798;1652;0;0;0;0
802;1648;0;0;0;0
796;1654;0;0;0;0
816;1634;0;0;0;0
814;1636;0;0;0;0
814;1636;0;0;0;0
812;1638;0;0;0;0
823;1627;0;0;0;0
831;1619;0;0;0;0
830;1620;0;0;0;0
842;1608;0;0;0;0
832;1618;0;0;0;0
839;1611;0;0;0;0
844;1606;0;0;0;0
842;1608;0;0;0;0
828;1622;0;0;0;0
822;1628;0;0;0;0
813;1637;0;0;0;0
830;1620;0;0;0;0
811;1639;0;0;0;0
820;1630;0;0;0;0
822;1628;0;0;0;0
822;1628;0;0;0;0
815;1635;0;0;0;0
807;1643;0;0;0;0
815;1635;0;0;0;0
819;1631;0;0;0;0
816;1634;0;0;0;0
813;1637;0;0;0;0
809;1641;0;0;0;0
816;1634;0;0;0;0
815;1635;0;0;0;0
820;1630;0;0;0;0
825;1625;0;0;0;0
825;1625;0;0;0;0
827;1623;0;0;0;0
820;1630;0;0;0;0
826;1624;0;0;0;0
823;1627;0;0;0;0
836;1614;0;0;0;0
835;1615;0;0;0;0
834;1616;0;0;0;0
829;1621;0;0;0;0
828;1622;0;0;0;0
815;1635;0;0;0;0
813;1637;0;0;0;0
821;1629;0;0;0;0
818;1632;0;0;0;0
824;1626;0;0;0;0
822;1628;0;0;0;0
828;1622;0;0;0;0
824;1626;0;0;0;0
826;1624;0;0;0;0
837;1613;0;0;0;0
831;1619;0;0;0;0
824;1626;0;0;0;0
832;1618;0;0;0;0
831;1619;0;0;0;0
831;1619;0;0;0;0
823;1627;0;0;0;0
810;1640;0;0;0;0
803;1647;0;0;0;0
794;1656;0;0;0;0
792;1658;0;0;0;0
798;1652;0;0;0;0
801;1649;0;0;0;0
806;1644;0;0;0;0
814;1636;0;0;0;0
823;1627;0;0;0;0
815;1635;0;0;0;0
820;1630;0;0;0;0
820;1630;0;0;0;0
822;1628;0;0;0;0
808;1642;0;0;0;0
801;1649;0;0;0;0
808;1642;0;0;0;0
814;1636;0;0;0;0
824;1626;0;0;0;0
810;1640;0;0;0;0
820;1630;0;0;0;0
827;1623;0;0;0;0
826;1624;0;0;0;0
839;1611;0;0;0;0
843;1607;0;0;0;0
836;1614;0;0;0;0
842;1608;0;0;0;0
840;1610;0;0;0;0
841;1609;0;0;0;0
835;1615;0;0;0;0
822;1628;0;0;0;0
829;1621;0;0;0;0
831;1619;0;0;0;0
823;1627;0;0;0;0
832;1618;0;0;0;0
833;1617;0;0;0;0
832;1618;0;0;0;0
826;1624;0;0;0;0
821;1629;0;0;0;0
828;1622;0;0;0;0
830;1620;0;0;0;0
845;1605;0;0;0;0
845;1605;0;0;0;0
837;1613;0;0;0;0
835;1615;0;0;0;0
827;1623;0;0;0;0
825;1625;0;0;0;0
841;1609;0;0;0;0
847;1603;0;0;0;0
852;1598;0;0;0;0
858;1592;0;0;0;0
867;1583;0;0;0;0
845;1605;0;0;0;0
846;1604;0;0;0;0
844;1606;0;0;0;0
846;1604;0;0;0;0
833;1617;0;0;0;0
839;1611;0;0;0;0
827;1623;0;0;0;0
831;1619;0;0;0;0
834;1616;0;0;0;0
822;1628;0;0;0;0
817;1633;0;0;0;0
820;1630;0;0;0;0
812;1638;0;0;0;0
796;1654;0;0;0;0
807;1643;0;0;0;0
804;1646;0;0;0;0
810;1640;0;0;0;0
800;1650;0;0;0;0
793;1657;0;0;0;0
801;1649;0;0;0;0
813;1637;0;0;0;0
806;1644;0;0;0;0
808;1642;0;0;0;0
830;1620;0;0;0;0
825;1625;0;0;0;0
827;1623;0;0;0;0
824;1626;0;0;0;0
813;1637;0;0;0;0
815;1635;0;0;0;0
825;1625;0;0;0;0
835;1615;0;0;0;0
841;1609;0;0;0;0
840;1610;0;0;0;0
846;1604;0;0;0;0
852;1598;0;0;0;0
859;1591;0;0;0;0
848;1602;0;0;0;0
850;1600;0;0;0;0
857;1593;0;0;0;0
845;1605;0;0;0;0
836;1614;0;0;0;0
835;1615;0;0;0;0
828;1622;0;0;0;0
823;1627;0;0;0;0
823;1627;0;0;0;0
824;1626;0;0;0;0
825;1625;0;0;0;0
831;1619;0;0;0;0
837;1613;0;0;0;0
851;1599;0;0;0;0
847;1603;0;0;0;0
849;1601;0;0;0;0
852;1598;0;0;0;0
851;1599;0;0;0;0
856;1594;0;0;0;0
846;1604;0;0;0;0
856;1594;0;0;0;0
852;1598;0;0;0;0
842;1608;0;0;0;0
830;1620;0;0;0;0
835;1615;0;0;0;0
842;1608;0;0;0;0
840;1610;0;0;0;0
843;1607;0;0;0;0
833;1617;0;0;0;0
824;1626;0;0;0;0
822;1628;0;0;0;0
803;1647;0;0;0;0
801;1649;0;0;0;0
804;1646;0;0;0;0
806;1644;0;0;0;0
813;1637;0;0;0;0
815;1635;0;0;0;0
829;1621;0;0;0;0
845;1605;0;0;0;0
836;1614;0;0;0;0
829;1621;0;0;0;0
827;1623;0;0;0;0
829;1621;0;0;0;0
843;1607;0;0;0;0
850;1600;0;0;0;0
851;1599;0;0;0;0
836;1614;0;0;0;0
839;1611;0;0;0;0
836;1614;0;0;0;0
837;1613;0;0;0;0
816;1634;0;0;0;0
830;1620;0;0;0;0
835;1615;0;0;0;0
843;1607;0;0;0;0
840;1610;0;0;0;0
847;1603;0;0;0;0
842;1608;0;0;0;0
836;1614;0;0;0;0
840;1610;0;0;0;0
836;1614;0;0;0;0
831;1619;0;0;0;0
827;1623;0;0;0;0
835;1615;0;0;0;0
830;1620;0;0;0;0
834;1616;0;0;0;0
836;1614;0;0;0;0
832;1618;0;0;0;0
832;1618;0;0;0;0
838;1612;0;0;0;0
827;1623;0;0;0;0
825;1625;0;0;0;0
833;1617;0;0;0;0
830;1620;0;0;0;0
841;1609;0;0;0;0
843;1607;0;0;0;0
837;1613;0;0;0;0
843;1607;0;0;0;0
844;1606;0;0;0;0
833;1617;0;0;0;0
826;1624;0;0;0;0
828;1622;0;0;0;0
829;1621;0;0;0;0
834;1616;0;0;0;0
835;1615;0;0;0;0
841;1609;0;0;0;0
839;1611;0;0;0;0
851;1599;0;0;0;0
849;1601;0;0;0;0
841;1609;0;0;0;0
845;1605;0;0;0;0
849;1601;0;0;0;0
842;1608;0;0;0;0
826;1624;0;0;0;0
819;1631;0;0;0;0
825;1625;0;0;0;0
